id,name,longitude,latitude,Score_Population_Density,Score_Footfall,Score_Transit,Score_Traffic,Score_Rent_Value,Score_Parking,Score_Night_Activity,Score_Walkability,Score_Safety,Score_POI_Synergy
316,Raj Ghat,77.25318113,28.6476629,95,86.83186013,95,84,64.62957251,58.45119256,85.35158232,91.68128786,55.53201824,77.21610019
185,Laxmi Nagar,77.27182603,28.63571066,95,86.76975306,92.44268631,84,67.57172934,47.98714192,89.28616129,90.69295233,57.00910776,82.26270811
187,Yamuna Bank,77.26644411,28.62182087,95,86.31242477,94.54535317,84,65.24872042,49.79970329,88.43925421,87.18251258,56.82576151,76.50336305
37,Geeta Colony,77.27155665,28.6508834,95,85.98599364,93.69657633,84,65.5971359,53.22979508,86.10002119,89.90472356,55.96939863,80.41552626
209,Dasghara,77.1618026,28.6209324,95,76.21522155,92.85936489,84,66.07673814,62.50465993,88.818111,84.11151195,52.05264573,72.60851331
30,Shadipur,77.15753725,28.64988448,95,77.5545091,95,84,63.51311272,61.5066572,88.79980297,85.06326463,54.44984871,73.76319433
186,Mayur Vihar,77.29883485,28.61036265,95,78.13795236,95,84,69.16921329,52.92822037,85.03169523,90.4514606,45.47995169,79.05647717
197,Swasthya Vihar,77.28892489,28.64099556,95,82.412701,90.01574763,84,64.88328205,53.69900643,86.32558781,89.73238804,45.27468366,82.51254784
163,India Gate Area,77.23060137,28.6128941,95,80.37360548,95,84,69.47678045,41.61370611,88.12851821,90.44527566,48.29629984,79.96379028
190,Shakarpur,77.28080479,28.62842136,95,79.11191591,92.41779431,84,68.03357477,47.48073179,87.81336794,90.07949996,48.5232085,78.06239012
168,Moti Bagh,77.16934526,28.58244295,95,79.16246161,89.83367745,84,61.82109783,60.75870792,87.3658585,86.19368082,52.03983118,72.49977798
205,Dhaula Kuan,77.16330604,28.59581568,95,76.92116495,91.32213004,84,61.10361941,62.9646482,84.39935289,90.9114004,54.14633488,67.64635027
142,Shahdara North East,77.28839455,28.68502612,95,82.75931518,89.47295033,84,64.95706791,78.11211933,77.07313711,70.2980594,56.96115137,69.6423852
208,Pusa,77.15924773,28.63642821,95,76.02436671,94.2528274,84,63.50524391,61.6870449,89.22315996,89.63175273,51.10779474,72.78025243
218,Teen Murti Marg Area,77.20325701,28.60406758,95,76.53831215,95,84,67.26751324,41.56161838,86.66245468,91.82926087,47.57649173,82.03348618
193,Mayur Vihar Ii,77.29979781,28.61672802,95,79.9766936,94.02960751,84,68.96423043,51.28095746,81.25216959,78.69556321,48.90444708,81.3699316
55,New Mustafabad,77.27104459,28.71353108,95,87.10290739,88.62854934,84,65.97384283,64.33607201,61.58018714,83.87696778,55.67185838,75.6684347
23,Anand Parbat,77.17434545,28.66162638,95,81.61165973,95,84,62.76567465,50.75318926,87.66268078,84.08156733,53.22813623,68.07795832
192,Trilokpuri,77.30278462,28.60070899,95,78.17234226,95,84,55.4558059,56.56478607,85.63515732,81.4570405,49.42615865,80.27608615
216,Motilal Nehru Marg Area,77.21418366,28.6051018,95,80.34046191,95,84,66.96720473,42.28490677,88.35662623,91.59433788,46.95691751,77.07661159
195,Kalyan Puri,77.31119801,28.61827885,95,82.59616499,93.71196291,84,65.14770079,59.2808364,79.90064312,83.18425006,44.33363313,80.53887138
52,Patel Nagar,77.16798285,28.65292083,95,79.94574451,95,84,61.78477427,48.22710157,83.91036969,88.14104618,50.84734126,72.32401049
380,Central Ridge Reserve Forest,77.17950118,28.61917838,95,81.30877769,95,84,67.63049942,44.36822462,84.48973996,91.09920398,53.95703589,65.82736836
215,Delhi Race Club,77.20519916,28.5923107,95,78.79169312,94.73900936,84,66.43427702,43.41998553,83.91608136,90.25612213,45.72767206,75.24919274
213,Presidential Estate,77.19693316,28.61827444,95,77.76533827,95,84,65.01390078,42.55041929,83.48264144,90.95525473,54.40955508,68.68347214
206,Subroto Park,77.15271761,28.58126011,95,75.60690662,87.91680208,84,68.06130176,58.62459463,87.94554559,80.04965899,51.62979909,71.61968945
348,Chanakyapuri,77.18738843,28.59369798,95,81.36213849,93.78332077,84,63.10017872,42.65512899,88.7648349,83.37876473,54.94682911,73.52547421
